Test_ID,Predicted_Reference_Parameter,Valid / Invalid
TST-0278,32.3029,Invalid
TST-0006,18.9301,Valid
TST-0047,56.9545,Valid
TST-0311,25.8753,Valid
TST-0264,23.368,Invalid
TST-0169,20.0271,Valid
TST-0269,18.4604,Valid
TST-0178,14.6274,Invalid
TST-0206,31.6458,Valid
TST-0038,18.2393,Valid
TST-0213,15.2305,Valid
TST-0309,16.3812,Valid
TST-0059,33.0843,Valid
TST-0159,18.3755,Valid
TST-0235,20.064,Valid
TST-0230,21.0336,Valid
TST-0323,34.2292,Valid
TST-0262,18.6442,Valid
TST-0274,14.368,Valid
TST-0214,48.3545,Valid
TST-0024,39.6961,Valid
TST-0234,17.3011,Valid
TST-0333,21.5377,Valid
TST-0060,20.3962,Valid
TST-0226,36.1557,Valid
TST-0197,15.937,Valid
TST-0346,42.0903,Valid
TST-0192,26.2314,Valid
TST-0141,29.5345,Valid
TST-0222,37.6188,Invalid
TST-0232,19.6458,Valid
TST-0085,24.0099,Valid
TST-0237,33.19,Valid
TST-0001,36.5623,Valid
TST-0069,16.4105,Valid
TST-0272,22.4741,Valid
TST-0343,33.252,Valid
TST-0320,26.2014,Valid
TST-0008,31.5318,Invalid
TST-0144,23.337,Valid
TST-0184,21.878,Valid
TST-0107,58.4281,Valid
TST-0026,41.699,Valid
TST-0164,42.5915,Valid
TST-0217,33.2295,Valid
TST-0332,30.7827,Valid
TST-0279,24.0075,Valid
TST-0243,18.5911,Valid
TST-0163,20.1104,Valid
TST-0131,29.5759,Valid
TST-0070,16.3842,Valid
TST-0137,18.6465,Valid
TST-0210,30.0693,Valid
TST-0288,20.7029,Valid
TST-0248,17.9266,Valid
TST-0277,22.2444,Invalid
TST-0215,21.1513,Valid
TST-0138,16.1738,Valid
TST-0228,17.5981,Valid
TST-0252,48.5258,Valid
TST-0205,30.2804,Valid
TST-0348,22.2842,Valid
TST-0177,23.0921,Valid
TST-0267,38.2132,Valid
TST-0308,23.3368,Valid
TST-0087,48.2,Invalid
TST-0117,16.7548,Valid
TST-0014,18.0352,Valid
TST-0154,23.8661,Valid
TST-0207,46.8226,Valid
TST-0187,21.8314,Valid
TST-0236,21.791,Valid
TST-0283,36.1542,Invalid
TST-0089,18.1616,Valid
TST-0202,23.6367,Valid
TST-0160,18.6239,Valid
TST-0036,25.6415,Valid
TST-0275,48.2113,Valid
TST-0023,34.3745,Valid
TST-0091,42.3092,Valid
TST-0151,43.7671,Valid
TST-0310,22.5334,Valid
TST-0239,15.3111,Valid
TST-0331,33.0698,Valid
TST-0316,13.6033,Invalid
TST-0338,14.3473,Valid
TST-0019,20.2343,Valid
TST-0168,13.4432,Invalid
TST-0007,18.5207,Valid
TST-0211,32.6981,Valid
TST-0016,36.4716,Valid
TST-0027,19.5063,Invalid
TST-0031,16.6934,Invalid
TST-0249,28.6866,Valid
TST-0011,16.2367,Valid
TST-0080,23.1163,Invalid
TST-0121,16.8136,Valid
TST-0266,19.4668,Valid
TST-0198,21.7474,Valid
TST-0067,31.0478,Valid
TST-0102,21.941,Valid
TST-0005,37.4253,Valid
TST-0003,29.6826,Valid
TST-0132,43.8135,Valid
TST-0029,26.3118,Valid
TST-0221,29.6931,Valid
TST-0099,17.6436,Valid
TST-0062,17.0646,Valid
TST-0095,27.3754,Valid
TST-0126,17.0735,Valid
TST-0034,49.8581,Valid
TST-0103,15.9742,Valid
TST-0245,23.4654,Valid
TST-0058,50.2587,Valid
TST-0065,27.1395,Valid
TST-0086,19.4911,Valid
TST-0342,20.6197,Valid
TST-0335,17.9839,Valid
TST-0180,18.0642,Invalid
TST-0294,23.6154,Invalid
TST-0072,20.8119,Valid
TST-0315,47.2957,Invalid
TST-0182,45.9414,Valid
TST-0200,21.3978,Valid
TST-0030,16.6723,Valid
TST-0193,16.8637,Valid
TST-0231,21.0475,Valid
TST-0128,25.8907,Valid
TST-0165,27.9825,Invalid
TST-0074,13.887,Valid
TST-0004,34.1383,Valid
TST-0157,23.7625,Valid
TST-0143,27.68,Valid
TST-0179,40.9507,Valid
TST-0075,27.8861,Valid
TST-0233,25.5899,Valid
TST-0111,26.248,Valid
TST-0350,20.9462,Valid
TST-0122,16.9572,Valid
TST-0076,22.2115,Valid
TST-0304,25.8647,Valid
TST-0190,29.6014,Valid
TST-0061,16.9188,Valid
