iter	Passed	Remaining
0	1	393
1	3	460
2	4	473
3	6	475
4	7	463
5	9	449
6	10	437
7	11	424
8	12	415
9	14	410
10	15	405
11	16	398
12	17	390
13	18	385
14	20	385
15	21	382
16	22	378
17	23	375
18	25	371
19	26	369
20	27	368
21	28	366
22	30	362
23	31	359
24	32	356
25	33	352
26	34	349
27	35	349
28	37	348
29	38	346
30	39	345
31	41	343
32	42	341
33	43	338
34	44	336
35	45	333
36	46	330
37	47	328
38	48	326
39	50	325
40	51	324
41	53	330
42	54	328
43	56	326
44	57	324
45	58	322
46	59	322
47	61	320
48	62	318
49	63	316
50	64	314
51	65	313
52	67	312
53	68	311
54	69	310
55	70	309
56	72	307
57	73	306
58	74	304
59	75	302
60	76	300
61	78	299
62	79	298
63	80	296
64	81	295
65	83	294
66	84	294
67	85	292
68	87	291
69	88	290
70	89	290
71	91	288
72	92	288
73	94	287
74	95	286
75	96	285
76	98	285
77	100	284
78	101	283
79	102	281
80	103	280
81	104	278
82	105	276
83	106	275
84	108	273
85	109	271
86	110	270
87	111	268
88	112	267
89	114	266
90	115	265
91	116	264
92	118	263
93	119	261
94	120	260
95	121	258
96	123	258
97	124	257
98	125	255
99	126	253
100	127	252
101	129	250
102	130	249
103	131	248
104	132	246
105	133	245
106	135	243
107	136	242
108	137	240
109	138	239
110	139	237
111	140	236
112	141	234
113	142	233
114	144	231
115	145	230
116	146	228
117	147	227
118	148	226
119	149	224
120	151	223
121	152	222
122	153	220
123	154	219
124	155	217
125	156	216
126	157	215
127	158	213
128	160	212
129	161	211
130	163	210
131	164	209
132	165	207
133	166	206
134	167	205
135	169	204
136	170	202
137	171	201
138	172	199
139	173	198
140	174	197
141	175	195
142	177	194
143	178	193
144	179	192
145	180	190
146	182	189
147	183	188
148	184	187
149	185	185
150	186	184
151	188	183
152	189	181
153	190	180
154	191	179
155	193	178
156	195	178
157	196	176
158	198	175
159	199	174
160	200	173
161	201	171
162	202	170
163	203	169
164	205	167
165	206	166
166	207	165
167	208	164
168	210	163
169	211	161
170	212	160
171	213	159
172	215	157
173	216	156
174	217	155
175	218	154
176	219	152
177	220	151
178	221	150
179	223	148
180	224	147
181	225	146
182	227	145
183	228	144
184	230	142
185	231	141
186	232	140
187	234	139
188	235	138
189	236	136
190	237	135
191	238	134
192	240	133
193	241	131
194	242	130
195	243	129
196	244	128
197	246	126
198	247	125
199	248	124
200	250	123
201	251	122
202	252	120
203	254	119
204	255	118
205	256	117
206	257	115
207	259	114
208	260	113
209	261	112
210	263	111
211	264	109
212	265	108
213	267	107
214	268	106
215	269	104
216	270	103
217	271	102
218	272	100
219	274	99
220	275	98
221	276	97
222	278	96
223	279	94
224	281	93
225	282	92
226	284	91
227	285	90
228	286	88
229	287	87
230	288	86
231	289	84
232	290	83
233	292	82
234	293	81
235	294	79
236	295	78
237	297	77
238	298	76
239	299	74
240	301	73
241	302	72
242	303	71
243	304	69
244	305	68
245	307	67
246	308	66
247	309	64
248	311	63
249	312	62
250	313	61
251	314	59
252	316	58
253	317	57
254	318	56
255	319	54
256	320	53
257	322	52
258	323	51
259	325	50
260	326	48
261	328	47
262	329	46
263	330	45
264	331	43
265	332	42
266	333	41
267	335	40
268	336	38
269	337	37
270	339	36
271	340	35
272	341	33
273	343	32
274	344	31
275	345	30
276	347	28
277	348	27
278	349	26
279	350	25
280	351	23
281	352	22
282	354	21
283	355	20
284	357	18
285	359	17
286	361	16
287	362	15
288	363	13
289	364	12
290	366	11
291	367	10
292	368	8
293	370	7
294	372	6
295	373	5
296	374	3
297	376	2
298	377	1
299	378	0
