Test_ID,Predicted_Reference_Parameter,Valid / Invalid
TST-0278,32.6377,Invalid
TST-0006,19.2746,Valid
TST-0047,55.7819,Valid
TST-0311,25.2467,Valid
TST-0264,20.2837,Invalid
TST-0169,20.627,Valid
TST-0269,18.2467,Valid
TST-0178,16.6714,Invalid
TST-0206,32.8767,Valid
TST-0038,18.2217,Valid
TST-0213,15.0493,Valid
TST-0309,16.3585,Valid
TST-0059,33.1816,Valid
TST-0159,18.7784,Valid
TST-0235,19.909,Valid
TST-0230,21.1152,Valid
TST-0323,37.2527,Valid
TST-0262,18.6191,Valid
TST-0274,14.1055,Valid
TST-0214,48.957,Valid
TST-0024,39.7672,Valid
TST-0234,17.5659,Valid
TST-0333,22.3326,Valid
TST-0060,20.134,Valid
TST-0226,36.4943,Valid
TST-0197,16.3698,Valid
TST-0346,41.4908,Valid
TST-0192,26.1114,Valid
TST-0141,29.9955,Valid
TST-0222,38.9949,Invalid
TST-0232,19.5642,Valid
TST-0085,24.4667,Valid
TST-0237,32.7025,Valid
TST-0001,37.5016,Valid
TST-0069,16.7014,Valid
TST-0272,24.24,Valid
TST-0343,34.827,Valid
TST-0320,26.443,Valid
TST-0008,30.4568,Invalid
TST-0144,23.0945,Valid
TST-0184,21.8217,Valid
TST-0107,56.2035,Valid
TST-0026,42.1101,Valid
TST-0164,42.9022,Valid
TST-0217,33.4123,Valid
TST-0332,31.5755,Valid
TST-0279,23.5487,Valid
TST-0243,18.7053,Valid
TST-0163,20.8129,Valid
TST-0131,28.7538,Valid
TST-0070,16.1075,Valid
TST-0137,18.8362,Valid
TST-0210,29.5588,Valid
TST-0288,21.2589,Valid
TST-0248,18.0516,Valid
TST-0277,22.0826,Invalid
TST-0215,21.8295,Valid
TST-0138,16.2288,Valid
TST-0228,17.6455,Valid
TST-0252,49.3814,Valid
TST-0205,30.8049,Valid
TST-0348,22.6052,Valid
TST-0177,22.758,Valid
TST-0267,38.4667,Valid
TST-0308,23.1287,Valid
TST-0087,43.7615,Invalid
TST-0117,17.0236,Valid
TST-0014,18.4572,Valid
TST-0154,24.2273,Valid
TST-0207,47.0398,Valid
TST-0187,21.6198,Valid
TST-0236,21.2157,Valid
TST-0283,37.3507,Invalid
TST-0089,18.2339,Valid
TST-0202,22.8637,Valid
TST-0160,18.5009,Valid
TST-0036,25.4579,Valid
TST-0275,47.7794,Valid
TST-0023,34.3359,Valid
TST-0091,43.1855,Valid
TST-0151,43.7508,Valid
TST-0310,23.2425,Valid
TST-0239,15.2147,Valid
TST-0331,32.4306,Valid
TST-0316,13.2903,Invalid
TST-0338,14.2195,Valid
TST-0019,20.1145,Valid
TST-0168,13.6959,Invalid
TST-0007,18.206,Valid
TST-0211,32.367,Valid
TST-0016,37.1951,Valid
TST-0027,19.2262,Invalid
TST-0031,16.2255,Invalid
TST-0249,28.5716,Valid
TST-0011,16.0891,Valid
TST-0080,23.0703,Invalid
TST-0121,16.3808,Valid
TST-0266,19.531,Valid
TST-0198,21.9269,Valid
TST-0067,31.5115,Valid
TST-0102,21.7437,Valid
TST-0005,37.1498,Valid
TST-0003,29.6074,Valid
TST-0132,44.8545,Valid
TST-0029,26.4536,Valid
TST-0221,30.9213,Valid
TST-0099,17.6458,Valid
TST-0062,17.1983,Valid
TST-0095,27.1255,Valid
TST-0126,17.0524,Valid
TST-0034,49.9846,Valid
TST-0103,15.8927,Valid
TST-0245,23.1323,Valid
TST-0058,49.9287,Valid
TST-0065,26.0758,Valid
TST-0086,19.5478,Valid
TST-0342,20.3657,Valid
TST-0335,17.8747,Valid
TST-0180,18.2226,Invalid
TST-0294,23.4476,Invalid
TST-0072,20.7327,Valid
TST-0315,47.8802,Invalid
TST-0182,45.9095,Valid
TST-0200,21.4989,Valid
TST-0030,16.4459,Valid
TST-0193,16.7937,Valid
TST-0231,21.169,Valid
TST-0128,26.1721,Valid
TST-0165,27.6369,Invalid
TST-0074,13.7273,Valid
TST-0004,34.1519,Valid
TST-0157,23.1759,Valid
TST-0143,26.9169,Valid
TST-0179,41.5389,Valid
TST-0075,27.0531,Valid
TST-0233,25.2156,Valid
TST-0111,26.2762,Valid
TST-0350,21.356,Valid
TST-0122,17.1155,Valid
TST-0076,22.097,Valid
TST-0304,26.9134,Valid
TST-0190,29.2366,Valid
TST-0061,16.7725,Valid
TST-0009,28.3049,Valid
TST-0194,44.2594,Valid
TST-0156,14.9564,Valid
TST-0088,32.2891,Valid
TST-0256,47.2981,Valid
TST-0329,16.1626,Valid
TST-0219,42.5321,Valid
TST-0306,13.8203,Valid
TST-0324,22.6608,Valid
TST-0113,21.8855,Valid
TST-0135,16.2268,Valid
TST-0339,17.9476,Valid
TST-0260,22.382,Valid
TST-0195,25.8879,Valid
TST-0286,28.1746,Valid
TST-0015,25.389,Valid
TST-0263,19.6391,Valid
TST-0147,24.4029,Valid
TST-0002,25.2389,Invalid
TST-0114,46.3425,Valid
TST-0271,27.9112,Invalid
TST-0223,21.7015,Valid
TST-0344,16.1368,Valid
TST-0183,31.2884,Valid
TST-0327,33.8445,Valid
TST-0250,19.2438,Invalid
TST-0185,38.3215,Valid
TST-0242,21.5023,Valid
TST-0158,13.103,Valid
TST-0078,45.2004,Valid
TST-0120,22.7088,Valid
TST-0093,30.4238,Valid
TST-0051,15.8135,Valid
TST-0010,16.1286,Valid
TST-0013,51.5899,Valid
TST-0049,14.9806,Valid
TST-0041,17.7023,Valid
TST-0055,31.6132,Valid
TST-0012,20.6534,Valid
TST-0127,48.6895,Valid
TST-0225,26.7879,Valid
TST-0050,23.5752,Valid
TST-0172,37.2944,Valid
TST-0079,33.0339,Valid
TST-0046,22.1444,Valid
TST-0325,18.3918,Valid
TST-0280,20.6529,Valid
TST-0140,15.2639,Valid
TST-0244,47.8802,Invalid
TST-0203,20.9783,Valid
TST-0238,18.6096,Valid
TST-0092,28.7114,Valid
TST-0307,13.7025,Valid
TST-0176,29.0664,Valid
TST-0115,17.2358,Invalid
TST-0028,14.9326,Invalid
TST-0317,19.3459,Valid
TST-0251,39.0892,Valid
TST-0301,14.7205,Valid
TST-0116,37.5646,Valid
TST-0056,24.1803,Valid
TST-0166,27.2583,Valid
TST-0247,32.7005,Valid
TST-0291,28.0087,Valid
TST-0167,29.8376,Valid
TST-0313,48.1142,Valid
TST-0105,13.9503,Valid
TST-0104,21.0218,Valid
TST-0045,35.69,Valid
TST-0289,44.7073,Valid
TST-0048,27.1335,Valid
TST-0110,18.492,Valid
TST-0037,38.0279,Valid
TST-0305,18.7648,Valid
TST-0240,32.5948,Valid
TST-0155,33.8688,Valid
TST-0119,53.1387,Invalid
TST-0295,23.5196,Valid
