Test_ID,Predicted_Reference_Parameter,Valid / Invalid
TST-0278,32.0439,Invalid
TST-0006,19.225,Valid
TST-0047,56.1944,Valid
TST-0311,25.2321,Valid
TST-0264,20.7727,Invalid
TST-0169,20.6193,Valid
TST-0269,18.1825,Valid
TST-0178,16.0626,Invalid
TST-0206,32.7868,Valid
TST-0038,18.2157,Valid
TST-0213,15.102,Valid
TST-0309,16.4432,Valid
TST-0059,33.0828,Valid
TST-0159,18.74,Valid
TST-0235,19.98,Valid
TST-0230,21.145,Valid
TST-0323,36.9082,Valid
TST-0262,18.5496,Valid
TST-0274,14.0273,Valid
TST-0214,48.727,Valid
TST-0024,39.6546,Valid
TST-0234,17.6546,Valid
TST-0333,22.3535,Valid
TST-0060,20.1371,Valid
TST-0226,36.2717,Valid
TST-0197,16.4014,Valid
TST-0346,41.8827,Valid
TST-0192,26.0971,Valid
TST-0141,29.667,Valid
TST-0222,38.8703,Invalid
TST-0232,19.5782,Valid
TST-0085,24.3661,Valid
TST-0237,32.8385,Valid
TST-0001,38.251,Valid
TST-0069,16.7438,Valid
TST-0272,23.908,Valid
TST-0343,34.7769,Valid
TST-0320,26.2902,Valid
TST-0008,31.3165,Invalid
TST-0144,23.2184,Valid
TST-0184,21.8414,Valid
TST-0107,57.0236,Valid
TST-0026,41.9574,Valid
TST-0164,42.8536,Valid
TST-0217,33.6431,Invalid
TST-0332,31.4476,Valid
TST-0279,23.5381,Valid
TST-0243,18.7126,Valid
TST-0163,20.7974,Valid
TST-0131,28.5291,Valid
TST-0070,16.1209,Valid
TST-0137,18.8614,Valid
TST-0210,29.5277,Valid
TST-0288,21.2154,Valid
TST-0248,18.0068,Valid
TST-0277,21.9632,Invalid
TST-0215,21.8005,Valid
TST-0138,16.2032,Valid
TST-0228,17.6288,Valid
TST-0252,49.349,Valid
TST-0205,30.612,Valid
TST-0348,22.6775,Valid
TST-0177,22.8616,Valid
TST-0267,38.599,Valid
TST-0308,23.1041,Valid
TST-0087,43.4514,Invalid
TST-0117,17.0356,Valid
TST-0014,18.3152,Valid
TST-0154,23.8931,Valid
TST-0207,46.7265,Valid
TST-0187,21.6319,Valid
TST-0236,21.168,Valid
TST-0283,36.7922,Invalid
TST-0089,18.229,Valid
TST-0202,22.8107,Valid
TST-0160,18.5098,Valid
TST-0036,25.4428,Valid
TST-0275,47.6569,Valid
TST-0023,34.1085,Valid
TST-0091,43.1103,Valid
TST-0151,43.8496,Valid
TST-0310,23.2886,Valid
TST-0239,15.2123,Valid
TST-0331,32.3454,Valid
TST-0316,13.4192,Invalid
TST-0338,14.1127,Valid
TST-0019,20.1135,Valid
TST-0168,13.7954,Invalid
TST-0007,18.1768,Valid
TST-0211,32.326,Valid
TST-0016,37.02,Valid
TST-0027,19.4417,Invalid
TST-0031,16.3404,Invalid
TST-0249,28.6247,Valid
TST-0011,16.16,Valid
TST-0080,23.0804,Invalid
TST-0121,16.36,Valid
TST-0266,19.5123,Valid
TST-0198,21.9895,Valid
TST-0067,31.6315,Valid
TST-0102,21.6779,Valid
TST-0005,37.2805,Valid
TST-0003,29.8317,Valid
TST-0132,44.9628,Valid
TST-0029,26.2419,Valid
TST-0221,30.2298,Valid
TST-0099,17.7373,Valid
TST-0062,17.2166,Valid
TST-0095,27.0971,Valid
TST-0126,17.1114,Valid
TST-0034,50.2359,Valid
