iter	Passed	Remaining
0	0	233
1	1	209
2	2	269
3	4	298
4	5	324
5	6	332
6	7	334
7	9	334
8	10	333
9	11	328
10	12	326
11	13	321
12	14	317
13	15	313
14	16	309
15	17	304
16	18	300
17	18	296
18	19	292
19	20	288
20	21	283
21	22	279
22	22	275
23	23	271
24	24	268
25	25	264
26	25	261
27	26	257
28	27	253
29	27	250
30	28	246
31	29	243
32	29	240
33	30	237
34	30	234
35	31	231
36	32	228
37	32	225
38	33	222
39	33	220
40	34	218
41	35	215
42	35	213
43	36	211
44	36	209
45	37	207
46	38	205
47	38	203
48	39	201
49	39	199
50	40	198
51	41	196
52	41	195
53	42	193
54	43	191
55	43	190
56	44	188
57	44	187
58	45	185
59	46	184
60	46	182
61	47	181
62	47	180
63	48	178
64	49	177
65	49	176
66	50	175
67	51	174
68	51	173
69	52	172
70	53	171
71	53	169
72	54	169
73	55	168
74	55	166
75	56	165
76	56	164
77	57	163
78	58	162
79	58	161
80	59	160
81	59	159
82	60	158
83	61	156
84	61	156
85	62	154
86	62	153
87	63	152
88	64	152
89	64	151
90	65	150
91	65	149
92	66	148
93	67	147
94	67	146
95	68	145
96	68	144
97	69	143
98	70	142
99	70	141
100	71	140
101	72	139
102	72	139
103	73	138
104	74	137
105	74	136
106	75	135
107	75	135
108	76	134
109	77	133
110	77	132
111	78	131
112	78	130
113	79	129
114	80	129
115	80	128
116	81	127
117	82	126
118	82	125
119	83	125
120	83	124
121	84	123
122	85	122
123	85	121
124	86	121
125	87	120
126	87	119
127	88	118
128	88	117
129	89	117
130	90	116
131	90	115
132	91	114
133	92	114
134	92	113
135	93	112
136	93	111
137	94	110
138	95	110
139	95	109
140	96	108
141	97	108
142	97	107
143	98	106
144	99	105
145	99	105
146	100	104
147	101	103
148	102	103
149	102	102
150	103	102
151	104	101
152	104	100
153	105	100
154	106	99
155	106	98
156	107	97
157	108	97
158	108	96
159	109	95
160	109	94
161	110	94
162	111	93
163	111	92
164	112	92
165	113	91
166	114	90
167	114	90
168	115	89
169	115	88
170	116	87
171	117	87
172	117	86
173	118	85
174	119	85
175	119	84
176	120	83
177	121	83
178	121	82
179	122	81
180	122	80
181	123	80
182	124	79
183	125	78
184	125	78
185	126	77
186	126	76
187	127	76
188	128	75
189	128	74
190	129	73
191	130	73
192	130	72
193	131	71
194	132	71
195	132	70
196	133	69
197	133	68
198	134	68
199	135	67
200	135	66
201	136	66
202	137	65
203	137	64
204	138	64
205	139	63
206	139	62
207	140	62
208	140	61
209	141	60
210	142	59
211	142	59
212	143	58
213	144	57
214	144	57
215	145	56
216	146	55
217	146	55
218	147	54
219	147	53
220	148	53
221	149	52
222	149	51
223	150	51
224	151	50
225	151	49
226	152	49
227	153	48
228	153	47
229	154	47
230	155	46
231	155	45
232	156	44
233	157	44
234	157	43
235	158	42
236	159	42
237	159	41
238	160	40
239	160	40
240	161	39
241	162	38
242	162	38
243	163	37
244	164	36
245	164	36
246	165	35
247	166	34
248	166	34
249	167	33
250	168	32
251	168	32
252	169	31
253	170	30
254	170	30
255	171	29
256	172	28
257	172	28
258	173	27
259	174	26
260	174	26
261	175	25
262	175	24
263	176	24
264	177	23
265	178	22
266	178	22
267	179	21
268	180	20
269	180	20
270	181	19
271	182	18
272	182	18
273	183	17
274	183	16
275	184	16
276	185	15
277	185	14
278	186	14
279	187	13
280	187	12
281	188	12
282	189	11
283	189	10
284	190	10
285	191	9
286	191	8
287	192	8
288	193	7
289	193	6
290	194	6
291	195	5
292	195	4
293	196	4
294	197	3
295	197	2
296	198	2
297	199	1
298	199	0
299	200	0
